player_id,name,team,batting_style,bowling_style,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,batting_strike_rate,bowling_economy,player_rating
106,Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,45.0,27.0,6.0,1.0,4.0,31.0,11.0,198.0,0.0,5.0,1.0,166.66666666666669,6.387096774193548,130.11182795698926
107,Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,34.0,30.0,5.0,1.0,3.0,3.0,0.0,41.0,0.0,3.0,0.0,113.33333333333333,13.666666666666666,83.36666666666667
108,Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter,69.0,54.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,127.77777777777777,0.0,97.11111111111111
109,Evin Lewis,West Indies,Left hand Bat,,Opening Batter,42.0,49.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428571428571,0.0,76.28571428571428
110,Brandon King,West Indies,Right hand Bat,,Top order Batter,79.0,63.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,125.39682539682539,0.0,95.65873015873015
111,Nicholas Pooran(c)†,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,25.0,29.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,86.20689655172413,0.0,75.48275862068965
112,Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,39.0,35.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,111.42857142857143,0.0,87.57142857142858
113,Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,25.0,22.0,1.0,2.0,3.0,9.0,2.0,85.0,0.0,2.0,2.0,113.63636363636364,9.444444444444445,88.17676767676768
114,Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,2.0,3.0,0.0,0.0,1.0,9.3,1.0,71.0,0.0,0.0,0.0,66.66666666666666,7.634408602150537,65.61290322580645
115,Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,24.0,19.0,2.0,0.0,2.0,12.0,2.0,94.0,0.0,1.0,1.0,126.3157894736842,7.833333333333333,92.39298245614034
116,Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,0.0,1.0,0.0,0.0,1.0,12.0,6.0,83.0,0.0,3.0,0.0,0.0,6.916666666666667,49.233333333333334
117,Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder,42.0,36.0,4.0,1.0,2.0,10.2,5.0,49.0,0.0,0.0,0.0,116.66666666666667,4.803921568627452,97.74509803921569
