player_id,name,team,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs
111,Nicholas Pooran(c)†,West Indies,Wicketkeeper Batter,25.0,29.0,0.0,1.0,3.0,,,,,,
112,Rovman Powell,West Indies,Middle order Batter,39.0,35.0,2.0,2.0,3.0,,,,,,
113,Odean Smith,West Indies,Bowling Allrounder,25.0,22.0,1.0,2.0,3.0,9.0,2.0,85.0,0.0,2.0,2.0
114,Obed McCoy,West Indies,Bowler,2.0,3.0,0.0,0.0,1.0,9.3,1.0,71.0,0.0,0.0,0.0
115,Akeal Hosein,West Indies,Bowler,24.0,19.0,2.0,0.0,2.0,12.0,2.0,94.0,0.0,1.0,1.0
116,Alzarri Joseph,West Indies,Bowler,0.0,1.0,0.0,0.0,1.0,12.0,6.0,83.0,0.0,3.0,0.0
117,Jason Holder,West Indies,Bowling Allrounder,42.0,36.0,4.0,1.0,2.0,10.2,5.0,49.0,0.0,0.0,0.0
118,Mohammad Rizwan†,Pakistan,Wicketkeeper Batter,175.0,160.0,15.0,3.0,7.0,,,,,,
119,Babar Azam(c),Pakistan,Batter,124.0,133.0,13.0,0.0,7.0,,,,,,
120,Shan Masood,Pakistan,Opening Batter,175.0,148.0,12.0,1.0,7.0,,,,,,
121,Iftikhar Ahmed,Pakistan,Middle order Batter,114.0,93.0,6.0,6.0,7.0,3.5,1.0,28.0,0.0,0.0,0.0
122,Shadab Khan,Pakistan,Allrounder,98.0,58.0,7.0,5.0,6.0,26.0,11.0,165.0,0.0,0.0,0.0
123,Haider Ali,Pakistan,Middle order Batter,2.0,5.0,0.0,0.0,2.0,,,,,,
124,Mohammad Nawaz,Pakistan,Allrounder,68.0,64.0,7.0,2.0,5.0,9.0,3.0,67.0,0.0,2.0,1.0
125,Asif Ali,Pakistan,Middle order Batter,2.0,3.0,0.0,0.0,1.0,,,,,,
126,Shaheen Shah Afridi,Pakistan,Bowler,22.0,12.0,2.0,1.0,3.0,25.1,11.0,155.0,0.0,2.0,0.0
127,Haris Rauf,Pakistan,Bowler,10.0,7.0,0.0,1.0,3.0,26.0,8.0,178.0,1.0,3.0,0.0
128,KL Rahul,India,Opening Batter,128.0,106.0,8.0,8.0,6.0,,,,,,
129,Rohit Sharma(c),India,Top order Batter,116.0,109.0,11.0,4.0,6.0,,,,,,
130,Virat Kohli,India,Top order Batter,296.0,217.0,25.0,8.0,6.0,,,,,,
