player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate
52,Simi Singh,Ireland,Bowling Allrounder,Bits and Pieces,2.0,7.0,9.0,1.0,0.0,3.5,77.78,9.0,3.0,78.0,0.0,1.0,0.0,26.0,8.67,18.0
53,Barry McCarthy,Ireland,Bowler,Bits and Pieces,5.0,36.0,33.0,1.0,2.0,7.2,109.09,25.0,5.0,227.0,0.0,8.0,1.0,45.4,9.08,30.0
54,Josh Little,Ireland,Bowler,Bowling All-rounder,4.0,16.0,21.0,1.0,1.0,4.0,76.19,27.0,11.0,189.0,0.0,8.0,0.0,17.18,7.0,14.73
153,Fionn Hand,Ireland,Bowling Allrounder,Bits and Pieces,3.0,12.0,11.0,2.0,0.0,4.0,109.09,5.0,1.0,54.0,0.0,5.0,0.0,54.0,10.8,30.0
1,Michael van Lingen,Namibia,Bowling Allrounder,Batsman,3.0,33.0,33.0,4.0,0.0,11.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Divan la Cock,Namibia,Opening Batter,Batsman,2.0,9.0,11.0,1.0,0.0,4.5,81.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Jan Nicol Loftie-Eaton,Namibia,Batter,Batsman,3.0,21.0,20.0,1.0,2.0,7.0,105.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0
4,Stephan Baard,Namibia,Batter,Batsman,3.0,49.0,52.0,3.0,0.0,16.33,94.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gerhard Erasmus,Namibia,Allrounder,Batsman,3.0,52.0,60.0,2.0,0.0,17.33,86.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Jan Frylinck,Namibia,Allrounder,Batting All-rounder,3.0,101.0,93.0,6.0,1.0,33.67,108.6,11.0,3.0,72.0,1.0,2.0,0.0,24.0,6.55,22.0
7,David Wiese,Namibia,Allrounder,Bits and Pieces,3.0,66.0,42.0,4.0,3.0,22.0,157.14,10.3,3.0,65.0,0.0,1.0,0.0,21.67,6.31,20.6
8,JJ Smit,Namibia,Bowling Allrounder,Bits and Pieces,3.0,39.0,23.0,3.0,2.0,13.0,169.57,11.0,3.0,79.0,0.0,1.0,0.0,26.33,7.18,22.0
20,Gerhard Erasmus,Namibia,Allrounder,Unused Player,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,21.0,0.0,1.0,0.0,0.0,5.25,0.0
21,Bernard Scholtz,Namibia,Bowler,Bits and Pieces,1.0,1.0,1.0,0.0,0.0,1.0,100.0,12.0,4.0,61.0,0.0,0.0,0.0,15.25,5.08,18.0
22,Ben Shikongo,Namibia,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,48.0,1.0,1.0,0.0,16.0,9.6,10.0
86,Zane Green,Namibia,Wicketkeeper Batter,Batsman,1.0,2.0,3.0,0.0,0.0,2.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Ruben Trumpelmann,Namibia,Bowler,Batsman,1.0,25.0,24.0,1.0,1.0,25.0,104.17,4.0,0.0,22.0,0.0,3.0,0.0,0.0,5.5,0.0
96,Vikramjit Singh,Netherlands,Opening Batter,Batsman,5.0,57.0,62.0,5.0,2.0,11.4,91.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Max O'Dowd,Netherlands,Opening Batter,Batsman,8.0,242.0,215.0,22.0,8.0,30.25,112.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Bas de Leede,Netherlands,Batting Allrounder,Bowling All-rounder,8.0,93.0,117.0,7.0,1.0,11.62,79.49,22.0,13.0,169.0,0.0,7.0,2.0,13.0,7.68,10.15
99,Colin Ackermann,Netherlands,Batting Allrounder,Batting All-rounder,8.0,165.0,149.0,13.0,4.0,20.62,110.74,7.0,1.0,37.0,0.0,0.0,0.0,37.0,5.29,42.0
100,Tom Cooper,Netherlands,Middle order Batter,Batsman,8.0,107.0,103.0,7.0,3.0,13.38,103.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Scott Edwards,Netherlands,Wicketkeeper Batter,Batsman,8.0,91.0,104.0,8.0,0.0,11.38,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Roelof van der Merwe,Netherlands,Allrounder,Bits and Pieces,4.0,5.0,12.0,0.0,0.0,1.25,41.67,11.0,2.0,75.0,0.0,1.0,0.0,37.5,6.82,33.0
103,Tim Pringle,Netherlands,Allrounder,Bits and Pieces,6.0,51.0,58.0,1.0,1.0,8.5,87.93,17.0,3.0,102.0,0.0,0.0,0.0,34.0,6.0,34.0
104,Logan van Beek,Netherlands,Bowler,Bits and Pieces,4.0,15.0,23.0,0.0,0.0,3.75,65.22,16.2,3.0,125.0,0.0,3.0,0.0,41.67,7.72,32.4
105,Fred Klaassen,Netherlands,Bowler,Bowling All-rounder,4.0,10.0,11.0,0.0,0.0,2.5,90.91,30.0,8.0,191.0,0.0,10.0,0.0,23.88,6.37,22.5
106,Paul van Meekeren,Netherlands,Bowler,Bowling All-rounder,4.0,45.0,27.0,6.0,1.0,11.25,166.67,31.0,11.0,198.0,0.0,5.0,1.0,18.0,6.39,16.91
150,Shariz Ahmad,Netherlands,Bowler,Bits and Pieces,2.0,25.0,19.0,3.0,0.0,12.5,131.58,4.0,1.0,32.0,0.0,0.0,0.0,32.0,8.0,24.0
173,Timm van der Gugten,Netherlands,Bowler,Bowler,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,60.0,0.0,2.0,0.0,60.0,10.0,36.0
188,Stephan Myburgh,Netherlands,Opening Batter,Batsman,3.0,51.0,48.0,8.0,1.0,17.0,106.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Brandon Glover,Netherlands,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,7.0,60.0,1.0,3.0,0.0,8.57,7.06,7.29
